Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d027231	M6	57.783298	81.68702013	83.44751467	81.31948703	75.59425978	57.69139086	64.07729155	57.79308971	70.05138635	58.19987364	59.90044473
Zm00001d027240	M8	10.06239547	13.28705239	11.33578975	11.01440491	10.61911932	8.064647964	17.44166013	7.747520923	10.84664439	9.052666076	10.61887009
Zm00001d027242	M6	3.017241957	7.775237911	6.320104073	7.153876848	7.021170666	3.818584823	7.068039574	3.822612773	3.25603115	3.589440324	3.349646806
Zm00001d027257	M12	4.971170312	4.802372389	4.725096519	4.274514208	5.13068006	4.08289495	4.636388213	4.026675104	4.25088971	4.39024305	3.948583717
Zm00001d027259	M6	5.910702686	12.78285211	12.56085296	12.51833471	11.94538294	5.095773805	6.549429524	7.077137702	6.396215741	7.647164901	6.111573478
Zm00001d027258	M8	0.042838117	0.111971746	0.100084771	0.259501748	0.230610154	0.080891681	12.96277416	0.278345356	0.945504835	0.238933824	0
Zm00001d027266	M6	3.958568581	4.740788347	6.185371861	6.506187557	6.158251412	3.513255037	4.58912283	4.511405585	4.757395061	4.900624169	4.623155448
Zm00001d022650	M5	6.735545351	6.927196164	6.342527151	8.084865516	8.689141573	7.267637761	3.388798396	4.737821409	4.155812001	8.15820654	4.552678835
Zm00001d027267	M6	4.878362894	4.730645189	3.102913822	3.166397487	3.819821205	4.996056591	7.036972102	4.038263301	4.189196755	3.555937141	4.017568637
Zm00001d027271	M8	3.200612493	2.837770499	2.645088029	3.675563018	3.477229889	1.792976185	6.283687592	2.917860299	2.053360257	2.871939093	2.633861606
Zm00001d027277	M2	12.14014166	12.176916	11.40425926	11.52303443	10.43740372	10.76748361	10.36284213	11.27573984	8.529707237	10.11142467	12.05601116
Zm00001d027278	M6	8.144888398	24.71686788	20.64346322	22.8681821	23.37894457	8.853995844	12.83914644	12.31245667	13.82565054	12.56806537	10.87048719
Zm00001d027288	M1	507.2942369	208.0794007	193.4176726	200.0266302	174.4421398	472.4609205	268.2798656	278.6295035	267.8317244	305.7346706	291.6786192
Zm00001d027290	M8	5.286168556	11.18070444	3.860751176	4.315509373	6.559813942	5.392301618	16.50995609	3.908817405	2.674441365	13.21579894	11.89422701
Zm00001d027291	M9	96.21066011	13.91481343	30.17965214	38.47110493	44.86106414	127.6635091	45.15125918	122.2821715	84.48732321	76.20640963	86.57051549
Zm00001d027293	M6	24.13127269	35.57146251	39.14530083	36.57699063	40.51509037	30.74806736	30.61532001	29.86976054	32.67925923	30.00851537	30.59902276
Zm00001d027295	M2	569.7334279	450.2997263	376.8522918	381.7439926	408.3021781	506.4573524	378.7695096	425.6897037	321.3798384	374.6244793	370.657485
Zm00001d027302	M12	8.060131951	8.177739384	8.084446217	7.716385499	7.993380238	7.884901525	8.277330231	8.785579837	8.656944884	7.901004934	7.41954174
Zm00001d027307	M6	4.886579108	6.59054992	6.068117067	5.920750275	5.894956249	4.53702413	5.537088224	4.572760483	5.544964	4.843689583	4.604046363
Zm00001d027309	M1	13.75715026	8.061557574	9.361392921	11.52443541	10.25085124	13.11666881	10.83870573	10.13472223	9.057242296	13.70822993	12.32962329
Zm00001d027314	M6	25.93578273	12.74833958	10.91440487	11.69758671	9.9041942	29.76644927	25.24083939	21.16332457	21.62267253	18.67256563	19.93314148
Zm00001d027317	M6	7.878033971	11.92858188	11.83181296	11.77098587	13.27717084	7.674235935	10.47722235	9.68150384	9.945434016	8.353277121	8.63243387
Zm00001d027318	M1	141.165028	106.0539419	103.899826	115.0603494	104.4373318	135.2799849	104.5545048	123.6825223	105.4984132	128.0924401	117.4316522
