Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d027231	M6	-0.94594276	1.276247862	1.439910844	1.242080438	0.709839215	-0.954486835	-0.360826628	-0.945032482	0.19455037	-0.907216135	-0.749123889
Zm00001d027240	M8	-0.320984064	0.889691002	0.157102983	0.036441275	-0.111965957	-1.071024503	2.449509651	-1.19008765	-0.026543248	-0.700079959	-0.112059529
Zm00001d027242	M6	-1.090299455	1.390495135	0.631795845	1.066520677	0.997328357	-0.672483411	1.021765564	-0.670383259	-0.965796	-0.791958173	-0.916985279
Zm00001d027257	M12	1.236622821	0.81480049	0.621689774	-0.504305604	1.635234206	-0.983157955	0.40000965	-1.123650125	-0.56334271	-0.215101749	-1.3187988
Zm00001d027259	M6	-0.860151367	1.338193862	1.267178123	1.253576877	1.070294223	-1.12084055	-0.655827798	-0.487018204	-0.704839653	-0.304671096	-0.795894419
Zm00001d027258	M8	-0.349187707	-0.331221368	-0.334310537	-0.292881503	-0.300389805	-0.339298407	3.008424955	-0.287984456	-0.1146041	-0.298226663	-0.360320409
Zm00001d027266	M6	-1.046380845	-0.220362155	1.305108096	1.643887263	1.276469088	-1.516628884	-0.380519897	-0.462588773	-0.202825579	-0.051576627	-0.344581687
Zm00001d022650	M5	0.25497948	0.361406316	0.036730037	1.004279067	1.339843458	0.55045911	-1.603523917	-0.854389344	-1.1775887	1.045006539	-0.957202047
Zm00001d027267	M6	0.505485685	0.371492171	-1.105009545	-1.047424035	-0.454708763	0.612244668	2.463542318	-0.256561737	-0.119651244	-0.694075824	-0.275333696
Zm00001d027271	M8	0.062769405	-0.243955221	-0.406837301	0.464263787	0.296604982	-1.127160998	2.669014194	-0.176252159	-0.907048088	-0.215071163	-0.416327438
Zm00001d027277	M2	1.0596418	1.093243551	0.387245321	0.49577354	-0.496197824	-0.194594529	-0.564326849	0.269813506	-2.239313842	-0.794054065	0.982769392
Zm00001d027278	M6	-1.207085344	1.495187995	0.830967235	1.193736119	1.277022477	-1.0914563	-0.441626494	-0.527510002	-0.280764376	-0.485829732	-0.762641579
Zm00001d027288	M1	2.007882655	-0.731620458	-0.865857952	-0.80534872	-1.039591086	1.688961375	-0.180446716	-0.085689164	-0.184549735	0.162475969	0.033783832
Zm00001d027290	M8	-0.521274624	0.746964978	-0.827960478	-0.730116921	-0.247243292	-0.498439552	1.893580781	-0.817618782	-1.083201113	1.184825989	0.900483016
Zm00001d027291	M9	0.704178124	-1.476524353	-1.045533294	-0.825823645	-0.656500399	1.537626085	-0.648810715	1.395029628	0.393529277	0.174098899	0.448730393
Zm00001d027293	M6	-1.812616931	0.588066626	1.338024015	0.799073162	1.625469528	-0.424105865	-0.451962429	-0.608415459	-0.01885205	-0.579298246	-0.45538235
Zm00001d027295	M2	2.190050073	0.500108158	-0.539145389	-0.469929664	-0.094141338	1.294717426	-0.512017479	0.151885604	-1.324059721	-0.570668097	-0.626799573
Zm00001d027302	M12	-0.068889797	0.232262416	-0.006629319	-0.949106312	-0.239817991	-0.51759469	0.487280345	1.788732896	1.459342994	-0.476359394	-1.70922115
Zm00001d027307	M6	-0.671983593	1.727992057	0.992165998	0.784605687	0.748275819	-1.164317986	0.244232827	-1.113984743	0.255325547	-0.732391797	-1.069919816
