elements	sets
Zm00001d025234	PBS-PM
Zm00001d017104	PBS-PM
Zm00001d015475	PBS-PM
Zm00001d038892	PBS-PM
Zm00001d040942	PBS-PM
Zm00001d023345	PBS-PM
Zm00001d022853	PBS-PM
Zm00001d023153	PBS-PM
Zm00001d001675	PBS-PM
Zm00001d051047	PBS-PM
Zm00001d046081	PBS-PM
Zm00001d015131	PBS-PM
Zm00001d027539	PBS-PM
Zm00001d001776	PBS-PM
Zm00001d024243	PBS-PM
Zm00001d003762	PBS-PM
Zm00001d030834	PBS-PM
Zm00001d003379	PBS-PM
Zm00001d006753	PBS-PM
Zm00001d013844	PBS-PM
Zm00001d036550	PBS-PM
Zm00001d038717	PBS-PM
Zm00001d037814	PBS-PM
Zm00001d018908	PBS-PM
Zm00001d007766	PBS-PM
Zm00001d002137	PBS-PM
Zm00001d050195	PBS-PM
Zm00001d028401	PBS-PM
Zm00001d004689	PBS-PM
Zm00001d010785	PBS-PM
Zm00001d018731	PBS-PM
Zm00001d013551	PBS-PM
Zm00001d039715	PBS-PM
Zm00001d020037	PBS-PM
Zm00001d041553	PBS-PM
Zm00001d045657	PBS-PM
Zm00001d003757	PBS-PM
Zm00001d040710	PBS-PM
Zm00001d026351	PBS-PM
Zm00001d031316	PBS-PM
Zm00001d018495	PBS-PM
Zm00001d019567	PBS-PM
Zm00001d049362	PBS-PM
Zm00001d040260	PBS-PM
Zm00001d025958	PBS-PM
Zm00001d005071	PBS-PM
Zm00001d048236	PBS-PM
Zm00001d040466	PBS-PM
Zm00001d039432	PBS-PM
Zm00001d043588	PBS-PM
Zm00001d027878	PBS-PM
Zm00001d041404	PBS-PM
Zm00001d032719	PBS-PM
Zm00001d000506	PBS-PM
Zm00001d051120	PBS-PM
Zm00001d046865	PBS-PM
Zm00001d031893	PBS-PM
Zm00001d018225	PBS-PM
Zm00001d049443	PBS-PM
Zm00001d002353	PBS-PM
Zm00001d043049	PBS-PM
Zm00001d051785	PBS-PM
Zm00001d013216	PBS-PM
Zm00001d040026	PBS-PM
Zm00001d007840	PBS-PM
Zm00001d040666	PBS-PM
Zm00001d016599	PBS-PM
Zm00001d033522	PBS-PM
Zm00001d001476	PBS-PM
Zm00001d008359	PBS-PM
Zm00001d030328	PBS-PM
Zm00001d027904	PBS-PM
Zm00001d012791	PBS-PM
Zm00001d003016	PBS-PM
Zm00001d022017	PBS-PM
Zm00001d037094	PBS-PM
Zm00001d041578	PBS-PM
Zm00001d034163	PBS-PM
Zm00001d053127	PBS-PM
Zm00001d033989	PBS-PM
Zm00001d002234	PBS-PM
Zm00001d013519	PBS-PM
Zm00001d025136	PBS-PM
Zm00001d040613	3BS-3PM
Zm00001d046081	3BS-3PM
Zm00001d037988	3BS-3PM
Zm00001d037894	3BS-3PM
Zm00001d037985	3BS-3PM
Zm00001d033447	3BS-3PM
Zm00001d019704	3BS-3PM
Zm00001d048176	3BS-3PM
Zm00001d001820	3BS-3PM
Zm00001d034805	3BS-3PM
Zm00001d017147	3BS-3PM
Zm00001d040314	3BS-3PM
Zm00001d007411	3BS-3PM
Zm00001d021784	3BS-3PM
Zm00001d024718	3BS-3PM
Zm00001d002690	3BS-3PM
Zm00001d005284	3BS-3PM
Zm00001d051362	3BS-3PM
Zm00001d019504	3BS-3PM
Zm00001d028750	3BS-3PM
Zm00001d018797	3BS-3PM
Zm00001d012420	3BS-3PM
Zm00001d019163	3BS-3PM
