Gene	mGM	3C	4BS+V 	5BS+V	6BS+V	PM	3PM	4PM	5/6PM	1M	2M
Zm00001d000001	481.8775414	212.345296	133.8385502	149.2487661	162.5956886	457.2156337	148.3948963	139.8770056	140.7478106	94.91975722	157.4632258
Zm00001d000002	3.885922615	4.469308325	3.13190045	3.524399033	3.729039698	3.303755398	4.492128129	2.78231098	2.457726176	5.579723935	3.697470676
Zm00001d000004	7.711175607	6.194451065	8.076780973	7.819921927	6.441474734	9.539034904	7.510859412	7.150774419	6.409187366	7.622923221	6.474329302
Zm00001d000005	26.31595929	28.09074475	27.53498757	29.16085897	29.02243908	24.65508861	24.18988752	29.2674747	31.80162824	26.76611649	24.78751501
Zm00001d000011	1.789924102	1.865085018	1.405917247	1.715281955	1.952888136	2.671281378	2.119840068	0.86223064	1.087927409	0.955985467	0.696267946
Zm00001d000019	0	3.574686991	1.364907811	1.973007759	2.43543784	2.686190935	0	1.495103251	0.118093261	0.976107825	1.50316768
Zm00001d000020	0	0.407758179	0.406219421	0	0.136019055	0	1.195721386	0	0.561732047	1.12702208	0.387105516
Zm00001d000021	24.48224194	41.49335062	38.31416691	38.20414651	43.04648244	23.10039055	30.84032479	27.93691847	30.40994546	27.61949401	22.97065315
Zm00001d000023	1.465859014	2.891121696	2.836473045	2.793450531	2.492147818	1.660938486	1.340124829	2.39204799	1.902883614	2.147361074	2.17090261
Zm00001d000029	4.835437522	7.507380055	6.199620065	5.910988257	6.233515991	6.050097373	9.268329348	7.987266248	5.962638424	5.837256585	6.59976061
Zm00001d000030	54.29273332	65.47944206	61.76881788	60.20483241	62.41462496	46.33416727	42.37921691	50.7212401	54.07448364	51.82426508	47.29917784
Zm00001d000034	6.965631218	9.738707389	9.766519725	8.665323172	8.491708511	6.27938652	6.193242081	6.199978002	6.733796149	6.71089572	7.158536261
Zm00001d000035	2.797557802	4.658534153	5.231549899	4.341737602	5.902535297	2.751633441	2.752988949	4.274966709	5.38327951	4.921206421	5.172805752
Zm00001d000036	2.852118973	1.636944706	1.386491748	0.931583443	1.033294606	4.193468676	1.463913162	1.001666748	0.853189067	1.157367845	1.638275363
Zm00001d000037	0.146953919	0	0	0	0	0	0	0	0	0.791812213	0.550090028
Zm00001d000038	2.291319864	2.058471142	1.013847488	0.922428114	1.243857021	1.009817231	0.647586207	0.378324038	0.700588235	1.325889759	1.822807785
Zm00001d000039	5.354001814	4.418482	3.82203696	4.072275309	4.747877921	4.406676657	3.012874927	2.406402569	1.952723357	2.868952336	3.440060376
Zm00001d000040	7.708840988	10.39380473	4.956605612	5.449345464	5.878163613	3.274747368	1.739036983	2.871927615	1.855939248	3.600508883	2.926782401
Zm00001d000041	10.46388893	13.2328237	9.312770141	8.896587802	9.493363255	7.100475713	6.068857573	5.261760351	4.218121353	5.553934205	4.9826768
Zm00001d000042	0.892285145	1.165383634	1.577459782	1.435791643	1.55522738	1.095556488	0.755330345	0.766817275	0.84997027	0.656295134	0.881245319
Zm00001d000045	0.790722785	1.030313173	0.668987361	0.539415427	0.652013085	1.157300597	0.665303112	0.364545707	0.409215445	0.628191985	0.569893038
Zm00001d000046	1.56216854	5.142344439	4.083863755	3.6436166	5.20610846	2.101431258	3.655598508	2.634600364	2.739928231	1.954249698	2.811014912
Zm00001d000052	7.546993924	8.38206598	7.473694402	8.263303378	7.145635534	6.570796337	7.601168826	6.16547125	5.936495544	5.803407221	5.538637427
Zm00001d000053	3.065206053	5.202876393	5.681363026	4.725966863	5.659308094	4.998494531	4.732338918	4.293893245	5.49622363	5.300256519	5.034754004
Zm00001d000064	0.98553068	0.435610438	0.353050956	0	0.213694876	0	0	0.213009954	0.289404752	0.245154875	0.749011262
Zm00001d000065	0.351899002	0.47054525	0.527914027	0.545359377	0.276745431	1.504894692	1.814213376	0.216895653	0.732453756	0.95551716	0.594626472
Zm00001d000066	7.482043174	4.714993824	3.581558798	4.549606244	3.532415592	6.823268515	4.211837117	5.131368974	3.725366472	3.479456474	4.545645605
Zm00001d000067	1.405446703	1.082986392	1.141755347	1.644060963	1.51847146	0.694813392	0.229252872	2.906741575	1.513620339	1.431140533	1.24406587
Zm00001d000072	3.180629794	1.130178517	1.033075525	0.867407811	1.575525529	2.843207678	1.76090147	1.59331645	1.526241419	1.263381866	1.550826255
Zm00001d000074	2.685018565	2.885713262	2.60868004	2.654282994	2.732370974	2.393834171	2.204815743	2.530884008	2.327810796	2.37498703	2.426750953
Zm00001d000077	2.064534429	2.872212509	2.631884504	2.556431017	2.790991992	1.603873155	2.595405934	1.242238583	2.090374103	1.399017701	1.425261806
Zm00001d000080	2.873892978	3.870477932	3.873117133	3.974918505	3.5158007	2.900772143	3.518202346	2.717754604	3.087715361	2.717814104	2.963154286
